product_name,brand,calories,fat,sugar,salt,protein,fiber,carbs
Amul butter,Amul,717,81,0.5,1.5,0.8,0,0.5
Amul Cheese Slices,Amul,310,26,2,2,18,0,2
Amul Ice Cream Vanilla,Amul,200,10,18,0.2,3,0,24
Amul Kool Kesar,Amul,90,2,13,0.15,3,0,14
Amul Lassi,Amul,80,1.5,12,0.15,2,0,14
Amul Masti Dahi,Amul,90,4,5,0.1,3.5,0,6
Amul Processed Cheese Block,Amul,330,27,3,2.1,20,0,2
Amul Taaza Milk,Amul,62,3.5,5,0.1,3.2,0,4.8
Chocominis,Amul,526,29.3,56.6,0.15,5.3,,61.1
BALAJI CREAM ONION,balaji,,,,,,,
balaji wafers chataka pataka,Balaji,514,25,2,0.868,7,,63.3
Balaji Wafers Crunchex,Balaji,545,30.7,3.8,0.0024175,7.5,9.3,55
Balaji wafers panjabi tadka,Balaji,608,43.9,2,2.5825,7.7,6.5,42.3
Chataka pataka,Balaji,551,32.7,1,1,6.8,1,55.5
masala masti,Balaji,539,29.5,5.5,1.9,7.4,8.5,56.9
Potato chips,Balaji,,,,,,,
POTATO WAFERS,Balaji,,32.9,0.8,962.5,7.7,7.2,53.4
wheels,Balaji,484,21.5,3,355942,75,0,62.6
Balaji Farali Chivda,Balaji Namkeen,589,38.9,8,1.01,15.2,7.6,8
Balaji Wafers Masala Sev Murmura,Balaji Wafers,,,,,,,
Balaji Wafers Sev Murmura,Balaji Wafers,507,23.4,0,2.02,10.9,5,60.6
Balaji Wafers Shing Bhujia,Balaji Wafers,640,47.4,2,1.995,20.3,,26.5
Malasa Masti,Balaji wafers,539,29.5,5.2,1.9,7.4,8.5,56.9
Scoopitos Masala Flavour,Balaji Wafers,,,,,,,
Shing Bhujiya - Nimbu Chatka,Balaji Wafers,616,44.2,3.1,2772.5,20.2,,28.1
Simply Salted,Balaji Wafers,554,32.9,0.8,0.9625,7.7,7.2,53.4
tedha medha,bingo,541,32.8,1.8,0,6.9,0,55.9
50-50,Britannia,,,,,,,
8901063019201,Britannia,486,19.5,24,0.7725,7.4,,70
bourbon,britannia,492,19.9,37,295,4.7,,73.4
Brit bourbon 150g (sys),Britannia,493.5,20.3,37,0.2975,5,,72.7
britannia,Britannia,483,20.8,12.7,0,68,6.7,68
Britannia Bourbon,Britannia,490,22,32,0.7,6,2,64
Britannia Good Day Butter,Britannia,520,26,28,0.7,6,2,62
Britannia Little Hearts,Britannia,530,28,30,0.8,6,1.5,61
Britannia Marie,Britannia,430,10,18,0.9,8,2,76
Britannia NutriChoice Digestive,Britannia,450,14,18,0.9,8,7,68
Britannia Tiger Krunch,Britannia,470,16,22,0.8,7,2.5,70
Good Day - Cashew Cookies,Britannia,512,24,22,0,7,0,67
Good Day cashew cookie,Britannia,504,24,22,0.545,7,,65
Good Day Cashew Cookies,Britannia,504,24,22,0,7,0,65
Jimjam,Britannia,483,19,33.5,0.535,5,,73
Jimjam 57g (57),Britannia,,,,,,,
Marie gold,Britannia,445,10.6,21.2,0,7.9,0,79.5
Marie Gold Biscuit,Britannia,445,10.6,21.2,0.79,7.9,0,79.5
